SortOrder,RoundNo,HomeTeam,AwayTeam,MatchDate,StartTime,EndTime,Location,Field
465,9,Majors_NL_07,Majors_NL_10,2025-04-29,17:30,20:00,Ketcham,Field 1
466,9,Juniors_AL_02,Juniors_AL_03,2025-04-30,17:00,20:00,McCoppin,Field 1
467,9,Juniors_NL_05,Juniors_AL_01,2025-04-30,17:00,20:00,Crocker Amazon,D2
468,9,Majors_AL_01,Majors_AL_03,2025-04-30,17:30,20:00,Tepper,Field 1
469,9,AAA_AL_05,AAA_NL_08,2025-04-30,17:30,20:00,Ketcham,Field 1
470,9,AAA_NL_09,AAA_AL_04,2025-05-01,17:30,20:00,Ketcham,Field 1
471,9,Rookie_NL_07,Rookie_NL_08,2025-05-01,17:30,20:00,Balboa,D2
472,9,AA_AL_02,AA_AL_03,2025-05-01,17:30,20:00,South Sunset,Diamond 1
473,9,AA_NL_06,AA_AL_01,2025-05-01,17:30,20:00,Fort Scott,North Diamond
474,9,Rookie_AL_03,Rookie_AL_02,2025-05-01,17:30,20:00,Fort Scott,South Diamond
475,9,AAA_AL_03,AAA_AL_01,2025-05-01,17:30,20:00,Tepper,Field 1
476,9,AA_NL_10,AA_NL_09,2025-05-02,17:30,20:00,South Sunset,Diamond 2
477,9,Majors_AL_04,Majors_NL_08,2025-05-02,17:30,20:00,Fort Scott,North Diamond
478,9,AAA_AL_02,AAA_NL_10,2025-05-02,17:30,20:00,South Sunset,Diamond 1
479,10,TB_12,TB_11,2025-05-03,09:00,10:30,Larsen,Field 1
480,10,TB_13,TB_06,2025-05-03,09:00,10:30,Aptos,Field 1
481,10,TB_04,TB_10,2025-05-03,10:30,12:00,Larsen,Field 1
482,10,TB_09,TB_08,2025-05-03,11:00,12:30,Paul Goode,Practice
483,10,TB_05,TB_07,2025-05-03,12:00,13:30,Larsen,Field 1
484,10,TB_03,TB_14,2025-05-03,12:30,14:00,Paul Goode,Practice
486,10,UF_07,UF_04,2025-05-04,08:00,10:00,Fort Scott,North Diamond
487,10,UF_11,UF_01,2025-05-04,08:00,10:00,Fort Scott,South Diamond
488,10,LF_02,LF_03,2025-05-04,09:00,11:00,Rossi,Field 1
489,10,LF_09,LF_05,2025-05-04,09:00,11:00,Larsen,Field 1
490,10,UF_05,UF_06,2025-05-04,10:00,12:00,Fort Scott,North Diamond
491,10,UF_10,UF_02,2025-05-04,10:00,12:00,Fort Scott,South Diamond
492,10,LF_01,LF_07,2025-05-04,11:00,13:00,Rossi,Field 1
493,10,LF_10,LF_06,2025-05-04,11:00,13:00,Larsen,Field 1
494,10,UF_08,UF_03,2025-05-04,12:00,14:00,Fort Scott,South Diamond
495,10,UF_12,UF_09,2025-05-04,12:00,14:00,Fort Scott,North Diamond
496,10,LF_11,LF_08,2025-05-04,13:00,15:00,Rossi,Field 1
497,10,LF_04,LF_12,2025-05-04,13:00,15:00,Larsen,Field 1
498,10,Challenger_03,Challenger_02,2025-05-04,14:00,16:00,Riordan,Field 1
499,10,Challenger_01,Challenger_04,2025-05-04,14:00,16:00,Tepper,Field 1
500,11,TB_03,TB_02,2025-05-10,09:00,10:30,Aptos,Field 1
501,11,TB_05,TB_08,2025-05-10,09:00,10:30,Larsen,Field 1
502,11,TB_04,TB_13,2025-05-10,10:30,12:00,Larsen,Field 1
503,11,TB_14,TB_09,2025-05-10,11:00,12:30,Paul Goode,Practice
504,11,TB_01,TB_11,2025-05-10,12:00,13:30,Larsen,Field 1
505,11,TB_07,TB_06,2025-05-10,12:30,14:00,Paul Goode,Practice
506,11,TB_12,TB_10,2025-05-10,13:30,15:00,Larsen,Field 1
507,11,UF_01,UF_06,2025-05-11,08:00,10:00,Fort Scott,South Diamond
508,11,UF_02,UF_08,2025-05-11,08:00,10:00,Fort Scott,North Diamond
509,11,LF_12,LF_08,2025-05-11,09:00,11:00,Rossi,Field 1
510,11,LF_11,LF_01,2025-05-11,09:00,11:00,Larsen,Field 1
511,11,UF_07,UF_11,2025-05-11,10:00,12:00,Fort Scott,South Diamond
512,11,UF_09,UF_10,2025-05-11,10:00,12:00,Fort Scott,North Diamond
513,11,LF_05,LF_03,2025-05-11,11:00,13:00,Rossi,Field 1
514,11,LF_07,LF_06,2025-05-11,11:00,13:00,Larsen,Field 1
515,11,UF_04,UF_05,2025-05-11,12:00,14:00,Fort Scott,South Diamond
516,11,UF_12,UF_03,2025-05-11,12:00,14:00,Fort Scott,North Diamond
517,11,LF_10,LF_09,2025-05-11,13:00,15:00,Rossi,Field 1
518,11,LF_04,LF_02,2025-05-11,13:00,15:00,Larsen,Field 1
519,11,Challenger_02,Challenger_03,2025-05-11,14:00,16:00,Tepper,Field 1
520,11,Challenger_04,Challenger_01,2025-05-11,14:00,16:00,Riordan,Field 1
521,12,TB_09,TB_06,2025-05-17,09:00,10:30,Aptos,Field 1
523,12,TB_10,TB_14,2025-05-17,10:30,12:00,Larsen,Field 1
524,12,TB_01,TB_04,2025-05-17,11:00,12:30,Paul Goode,Practice
525,12,TB_12,TB_02,2025-05-17,12:00,13:30,Larsen,Field 1
526,12,TB_11,TB_05,2025-05-17,12:30,14:00,Paul Goode,Practice
527,12,TB_07,TB_03,2025-05-17,13:30,15:00,Larsen,Field 1
528,12,UF_09,UF_03,2025-05-18,08:00,10:00,Fort Scott,North Diamond
529,12,UF_08,UF_06,2025-05-18,08:00,10:00,Fort Scott,South Diamond
530,12,LF_11,LF_12,2025-05-18,09:00,11:00,Rossi,Field 1
531,12,LF_03,LF_10,2025-05-18,09:00,11:00,Larsen,Field 1
532,12,UF_04,UF_10,2025-05-18,10:00,12:00,Fort Scott,North Diamond
533,12,UF_05,UF_12,2025-05-18,10:00,12:00,Fort Scott,South Diamond
534,12,LF_08,LF_05,2025-05-18,11:00,13:00,Larsen,Field 1
535,12,LF_01,LF_04,2025-05-18,11:00,13:00,Rossi,Field 1
536,12,UF_01,UF_07,2025-05-18,12:00,14:00,Fort Scott,North Diamond
537,12,UF_02,UF_11,2025-05-18,12:00,14:00,Fort Scott,South Diamond
538,12,LF_06,LF_09,2025-05-18,13:00,15:00,Rossi,Field 1
539,12,LF_07,LF_02,2025-05-18,13:00,15:00,Larsen,Field 1
540,12,Challenger_02,Challenger_01,2025-05-18,14:00,16:00,Tepper,Field 1
541,12,Challenger_04,Challenger_03,2025-05-18,14:00,16:00,Riordan,Field 1
